C_CUSTKEY,C_NAME,C_ADDRESS,C_NATIONKEY,C_PHONE,C_ACCTBAL,C_MKTSEGMENT,C_COMMENT
60163,Customer#000060163,vmEVWerd1BX0 H7LlJA7yXfH3H5t,20,30-645-188-6117,8775.36,FURNITURE,among the furiously unusual requests? blithely unusual requests will dazz
60164,Customer#000060164,"pMEy1OoA7OnrgGcr8YBOKdH,",6,16-810-685-6128,8624.08,FURNITURE,"counts sublate slyly. silent, regular requests print slyly. slyly regular requests cajole. slyly fi"
60165,Customer#000060165,"a7NziTQOXN3C6i,n3T5G",4,14-675-837-5999,6975.71,FURNITURE,blithely. pending deposits are carefully furiously stealthy packages. furiously regula
60166,Customer#000060166,5esyN8 NwNelHZ0,2,12-447-666-4750,850.66,BUILDING,ins haggle furiously unusual packages. waters wake
60167,Customer#000060167,"sH, lKiGiBBX1CNH3f",18,28-135-212-2126,5975.62,BUILDING, theodolites alongside of the accounts are carefully pending excuses. quickly special f
60168,Customer#000060168,Jyx7cBOyUbhlpzPTbv,20,30-284-595-3536,198.69,BUILDING,"ackages are bold, pending instructions. carefully special ideas wake daringly "
60169,Customer#000060169,qT0lLpgqqul,18,28-369-821-3771,4242.37,HOUSEHOLD, silent frays sleep carefully among the carefully final dolphins. final foxes wake carefully acr
60170,Customer#000060170,K9p9YOfbHIeMuYG8CcruHtOcTPYTuFzRK1mebs,24,34-435-300-5610,8538.48,MACHINERY,nder against the silent excuses. blithely ironi
60171,Customer#000060171,Rq89JiR02w5HGHLFQ35BrOZN,6,16-557-931-9842,9289.82,HOUSEHOLD,fluffily even deposits. express grouches haggle blithely. carefully regular accounts 
60172,Customer#000060172," zPVZK0C,8v2JtTsbeA4bHrJa7cEEC",24,34-968-218-9114,9095.54,FURNITURE,"y carefully bold accounts. final, regular asympt"
60173,Customer#000060173,HrvEM5vtY6,3,13-583-838-4219,-177.30,MACHINERY,"l tithes are against the ironic attainments. unusual, final theodolites u"
60174,Customer#000060174,"fCUzGeFIJw5,Bob7eYAG6z1LX0RBBCF4HybG2S",5,15-238-885-4802,-987.95,FURNITURE,ainst the blithely unusual accounts. final somas cajole slyly carefully regular instructions. slyly even courts ar
60175,Customer#000060175,"myer,fZs67qwpyK5Fco",7,17-185-780-6401,3415.99,MACHINERY," sly, even excuses wake above the blithely final platelets. boldly final dolphins cajole slyly along the bold id"
60176,Customer#000060176,"jTCc2v3IX0z0Hr5TG,1FLeoWMp29",17,27-136-256-3781,1485.30,AUTOMOBILE,ffily beside the carefully final foxes. foxes b
60177,Customer#000060177,mo6Xg lvKm09kehKW3b61YU,23,33-931-152-1063,2308.90,AUTOMOBILE,nding dependencies engage after the 
60178,Customer#000060178,Umk6heK3cig xEsWpOIsAcrm0G2001,12,22-808-381-9741,6633.78,MACHINERY,y. regular requests beyond the quickly even packages wake slyly blithe requests. blithely fin
60179,Customer#000060179,bUSGBu04zbGqlM mqeKnPPBMNhAPa1afyR0z,5,15-456-154-1528,6939.91,AUTOMOBILE, nag. carefully final foxes sleep carefully according to
60180,Customer#000060180,GJLDJiSIki,20,30-726-408-3787,4130.45,MACHINERY,d the sometimes ironic packages. carefully regular requests alongside of the slyly express packages integrat
60181,Customer#000060181,"lD6SMO58JY7cDesAQ0s5qfPv,xLSfX",23,33-851-851-1493,8527.96,MACHINERY,s. dependencies sublate at the carefully silent requests. fluffily enticing deposits sleep furiously.
60182,Customer#000060182,ZztvVvzgcssolfn9a1TWJQbTObF7IC U,22,32-726-190-5874,8555.45,MACHINERY,uests. pending accounts sleep furiously final accounts. furiously unusual pinto beans wake furiously sly deposi
60183,Customer#000060183,BcD8OMP2PuNGIhQbZ,16,26-735-755-6012,8470.56,AUTOMOBILE,encies haggle furiously carefully slow packages. blithely even deposits boost. evenly iro
60184,Customer#000060184,lKgsLAgVKd,21,31-192-184-3308,685.76,HOUSEHOLD,the platelets. carefully unusual platelets
60185,Customer#000060185,K3wU1XDLhzmB,2,12-597-866-5716,6552.81,MACHINERY,ic asymptotes haggle blithely after the unusual dolphins? slyly 
60186,Customer#000060186,4hx gQc4sBSY3jkSsDRphxMT,3,13-664-632-8326,-922.97,FURNITURE,slyly according to the regular accou
60187,Customer#000060187,"nJzOLRVyFOCxaTE5oYjsQ,XqY",14,24-970-546-3506,6627.00,FURNITURE, packages against the evenly pending foxes integrate 
60188,Customer#000060188,"TdgWybJDvRdSPZIZhcHdh6,cgkT4e2",23,33-590-191-7182,2972.51,FURNITURE,"nding, unusual asymptotes. even packages are carefully around the regular, express ins"
60189,Customer#000060189,kElm3t3gevsMUpnvpyijSXe7E wfCF4,3,13-279-161-5835,6016.42,FURNITURE,nstructions. slyly regular deposits are. slyly express asymptotes wake. furiously final realms after the 
60190,Customer#000060190,7pP1E9eIAsRkr6N6hXMQpBF9eZ86icH,0,10-702-797-6916,3960.69,FURNITURE,hy accounts against the blithely even packages haggle furiously across the slyly unusual somas. carefully regul
60191,Customer#000060191,xLaBiZc9jAIOEl68T6mwXWWCdeySHNYGT,7,17-592-684-8835,4341.99,HOUSEHOLD,is. unusual foxes wake furiou
60192,Customer#000060192,"tMB20aL0kHqBzhWRDTr,LWIR",6,16-322-945-8817,-254.22,HOUSEHOLD,around the slyly even pinto beans. even acc
60193,Customer#000060193,LiAZK5nsOrOnKsyaifsExeBMR,17,27-645-656-5387,4269.47,MACHINERY,inally among the carefully even packages. never ironic accounts haggle slyly; fluffily bold idea
60194,Customer#000060194,CaaMgTBB tcNCmSArHElGVXiT6vhWTaiXHl1,15,25-343-187-5391,1980.57,MACHINERY,kages. regular platelets sleep slyly. dugouts against the furiously express excuses slee
60195,Customer#000060195,qKELrd7tx5FGa kc6bMAd03pkaUBzYNDEVhX3jc,17,27-182-657-5151,-637.25,FURNITURE,"heodolites about the ironic, express theodolites hinder quickly slyly regular "
60196,Customer#000060196,QXxoBLdHWOdsco06kZFhCkdi,24,34-835-863-6559,1668.32,MACHINERY,"thely special packages against the ironic, special asymptotes integrate "
60197,Customer#000060197,EuikGgOE0tZBgxmHeDgTEMBPmdJNN,2,12-777-866-8670,9454.45,HOUSEHOLD,uts. express platelets should cajole. express ideas from the furiously unusual requests cajole at the car
60198,Customer#000060198,IJwqJm789P6a0N85Um,9,19-510-611-4251,3968.06,FURNITURE," the carefully regular warthogs. unusual, regular instructions wake. final, even accounts wa"
60199,Customer#000060199,PvFa5Hk4uOPhi1tDz0CX8j,14,24-259-372-9463,7216.63,MACHINERY,after the furiously final accounts. notornis use blithely stealthil
60200,Customer#000060200,kILa0fs9Y9hTjVobDrVTSegIT ZI1P546hKrnmfN,9,19-438-225-2473,1915.07,HOUSEHOLD,ugh the final deposits are ca
60201,Customer#000060201,"Zy0J,e7vhb4Zs1to1G",14,24-791-419-9707,9502.00,AUTOMOBILE,rding to the slyly pending epitaphs. quickly regular ideas are carefully. bli
60202,Customer#000060202,"wz WmgkAXQQtBGT,Rw22",23,33-865-942-1693,223.03,MACHINERY,"he express, unusual packages. slyly final pinto beans haggle quickly about the slyly silent ideas. carefully "
60203,Customer#000060203,bj4ugdc5W7AO,10,20-297-778-5627,6478.02,HOUSEHOLD,dolites. pending deposits wake blithely about the 
60204,Customer#000060204,wsHw23mHSnwrguyWO HSWUZRqMDr1t,18,28-256-929-3308,7139.40,FURNITURE,oxes. blithely regular accounts accordin
60205,Customer#000060205,"q4CVonPNE7rgiwLn,jqJXczS,0toYkqf",11,21-836-698-7313,1865.47,FURNITURE, asymptotes. fluffily ironic courts alongside of th
60206,Customer#000060206,"eGLMxyG Ai gy39VECp,8YIXwTXb8EVzsV",15,25-737-386-6951,950.14,FURNITURE,al instructions thrash furiously. blithely unusual requests nag carefully across the ironic deposi
60207,Customer#000060207,"znv534DsLmyqpIccF2IAo,",14,24-187-116-5023,5909.53,AUTOMOBILE,"xes. slyly ironic packages boost slyly pending, silent requests. ins"
60208,Customer#000060208,"KoCwFgKd7r57ND3eRu,avBHY 8s",5,15-824-603-5010,476.24,BUILDING,sly at the furiously even foxes. furiously ironic requests haggle carefully across the slyly brave d
60209,Customer#000060209,"gGsoibpwiiDRJTUyN8oxV,cH9DAu9SWlD,pHCh",2,12-272-127-4452,5160.22,HOUSEHOLD,"e, unusual deposits use. bold, ironic packages are blithely carefully r"
60210,Customer#000060210,3RPh8xrrc1hRkSBwOO3,0,10-403-578-8573,1764.17,MACHINERY,lly along the carefully regular instructi
60211,Customer#000060211,"C4RoMO,OvO8dPfC",12,22-165-525-4012,3317.28,HOUSEHOLD, wake carefully. final deposits use carefully furiously express instruc
60212,Customer#000060212,"1z9XO ,7KT3T",23,33-164-764-7461,3526.44,AUTOMOBILE,ronic dependencies are furiously fluffily pending notornis. final waters after the
60213,Customer#000060213,"hWTyA6SijI0v,YAj0zFVlKwe",17,27-421-332-7051,9926.47,MACHINERY,"er the silent foxes. even, regular pi"
60214,Customer#000060214,"k3kaCf6Mn5Skqu 3,qjJy8yjJ8MGDb9YIYDfn",24,34-489-210-5342,6333.41,BUILDING,ld ideas cajole along the slyly unusual instructions. final packa
60215,Customer#000060215,LDR33fo51EHos,13,23-511-527-9697,7715.19,BUILDING,"ounts sleep slyly furiously regular accounts. unusual instructions boost blithely brave accounts-- silent,"
60216,Customer#000060216,HVyHztWu57C4bYLCW BgfquH24oSAIGsfMN45Nf,16,26-273-671-9537,-740.94,BUILDING,ronic deposits cajole among the furiously final foxes. slyly regular pinto beans nag carefully about the fl
60217,Customer#000060217,fi2M iE1f9k2,17,27-922-412-7917,7868.51,BUILDING,ys. quickly pending dolphins boost furiously. slyly special reques
60218,Customer#000060218,dQdidAYaJFBgJ032J5PNbPV9dpcpPCD744LHTI,20,30-699-192-3946,2074.33,AUTOMOBILE,ve the furiously ironic deposits. theodolites wake regularly carefully pending pinto beans. packages amo
60219,Customer#000060219,f3hSVCdDu7P8ciXM4sMcMRA3,18,28-639-243-6963,2203.02,AUTOMOBILE,are furiously theodolites. sly foxes lose fluffily pending foxes. ironic requests boo
60220,Customer#000060220,1MiXTQG3 xSHE34z 1Xq0kx09T,15,25-516-317-5564,9122.41,AUTOMOBILE,gular packages. carefully final requests ha
60221,Customer#000060221,sQ8GlfQ7tO7pFO b2A1Wwct rMs,12,22-344-929-6420,416.98,AUTOMOBILE,lithely bold requests integrate across the even foxes. carefully final
60222,Customer#000060222,2w6Hj1f2vyMfN34Ae60Zt,13,23-400-231-2047,-810.88,HOUSEHOLD,ously regular accounts. quickly regular accounts hinder furiously carefully bold platelets. regular instructions
60223,Customer#000060223,flAABIuDJnPDl8nzodFeOBAwJdSJOKq,2,12-425-109-1683,9410.13,BUILDING,the daringly pending dependencies. blithely regular asymptotes integrate around the silent asymptotes.
60224,Customer#000060224,wpvgVKmxA0fblqYRaUJdv0bClDNDW,13,23-870-580-1747,7072.94,AUTOMOBILE,y the furiously ironic accounts. bold foxes nag blithely quickly even reque
60225,Customer#000060225,4f8JP09EPYfnTvbsTraxwZZvW,17,27-899-206-5096,6916.48,MACHINERY,ng dependencies. quickly ironic platelets are furiously even pearls. quickly fluffy 
60226,Customer#000060226,"iI6p lpsLXaj,Ll9dXZOR",22,32-872-200-3720,6245.26,BUILDING,ng to the blithely special dependencies h
60227,Customer#000060227,4 i4eIHTB8vDvOrlnYSKJFTjgdPo6mFDM,4,14-863-463-2732,119.35,FURNITURE,sts. accounts cajole. quickly final deposits wake slyly amo
60228,Customer#000060228,tD8reZMQSSPXicEB9t4stg,24,34-967-595-6583,1879.84,MACHINERY, blithely final pinto beans run fluffily pending requests. blithely final reque
60229,Customer#000060229,zkjCE72R2gAmwWqw28I0Fv6,23,33-121-125-6878,435.77,BUILDING,haggle slyly. carefully ironic packages haggle slyly above the acc
60230,Customer#000060230,FldsTNQKNSEckMKpZ,16,26-150-189-1818,7004.73,HOUSEHOLD,. slyly final foxes haggle. packages acc
60231,Customer#000060231,FK2JWPQLiTUq3o7hS6FYg9,5,15-756-975-5680,4600.62,BUILDING,"n deposits. slyly even foxes sleep. final theodolites haggle blithely. excuses sleep slyly across the regular, ir"
60232,Customer#000060232,"e,guU9D9,Vd9cUtYJ3 l7ZtgLZ,wJPFrZr",5,15-521-188-6665,1561.02,FURNITURE, of the furiously bold packages nag carefully even ideas. quickly regular acco
60233,Customer#000060233,PjeHPcyNx9 dJt80SEiQ2bFJQaAR4L81lp,2,12-320-466-3679,9989.90,FURNITURE,ly among the blithely ironic deposits. special acc
60234,Customer#000060234,PR7Nss9aIJBPO3lMbQtrCyxUROp5nXklSbid,0,10-290-756-9644,5310.72,BUILDING,deas. fluffily even deposits affix evenly regular instructions. fluffily unusual pinto beans use 
60235,Customer#000060235,KTbv9PeuFsUI0E,14,24-363-425-2905,1271.92,AUTOMOBILE, quickly final asymptotes. even foxes sleep accounts. carefully
60236,Customer#000060236,5nq9eNWwE9FkK7Qibps3KCvnlcgVLcViIh0k,3,13-588-942-4698,2128.37,BUILDING,nusual warhorses. special requests haggle slyly alongside of the fluffily bold fo
60237,Customer#000060237,08Nq3JWgxJT5LAxsOjT0AXBo3UoF,22,32-991-207-2485,8464.62,AUTOMOBILE,regular dependencies wake even requests. quickly final accounts detect furiously. regular deposits are 
60238,Customer#000060238,svc8Inbj83Q48 T,8,18-257-777-8450,-123.78,HOUSEHOLD,"press pinto beans: slyly ironic pinto beans wake regular, even instructions. slyly ironic deposits wake finally"
60239,Customer#000060239,wTYhApxYhh698O3R78vCD33evQRE4yBnVbPW,13,23-226-516-1665,7508.30,BUILDING,inal ideas nag carefully ironic frays. unusual ideas detect according to the pending t
60240,Customer#000060240,"e2KleF4JNIX86xy58kjx5qkanZ,",20,30-610-337-9594,9003.97,MACHINERY,ic pinto beans can haggle over the careful
60241,Customer#000060241,0uhZvjgstq wVBE0wXeFmORMVIbAJVk8yBuoPM,6,16-177-419-1739,750.29,MACHINERY,tegrate. accounts use. final packages after the final requests nag sly
60242,Customer#000060242,qA2giHIEmNxuq q,21,31-466-160-1518,1983.61,MACHINERY, according to the deposits affix carefull
60243,Customer#000060243,v6Kg08Pd1GRQNicyamArIo,7,17-323-757-7016,6454.44,AUTOMOBILE,"ely. slyly final instructions haggle furiously after the ironic, bold packages. ironic instructions "
60244,Customer#000060244,2Z wPm rcn,24,34-180-292-2972,6816.91,MACHINERY,as serve slyly packages. carefully ironic excus
60245,Customer#000060245,QSsPrMM5aG7gfOBhCcFpIiqm,22,32-107-410-3031,4827.33,MACHINERY,to the fluffily final asymptotes wake thinly ironic deposits-- furiously special platelets haggle quickly 
60246,Customer#000060246,ffDemtmSDrNbBv8j2s xR9sZC,19,29-999-973-1552,5909.48,AUTOMOBILE, packages wake fluffily along the silent requests. dolphins affix. regular fox
60247,Customer#000060247,Bh7Dqv5sesw6z,8,18-844-188-6659,-407.99,FURNITURE,"t the ironic, final platelets detect quickly along the blithely unusual deposits? slyly ironic instructi"
60248,Customer#000060248,"SR,NkUcuvsB08PcRegz",19,29-500-432-7007,4889.37,MACHINERY, requests maintain across the special theodo
60249,Customer#000060249,"HB,kmln7bzndXVWm7mpO 8yZ4zENQ1PBV",15,25-632-768-6170,3719.26,FURNITURE,carefully across the fluffily bold excuses. bold accounts cajole about the silent foxes. slyly regular deposits u
60250,Customer#000060250,"dKyMHcknp6QxNUJf2h4ac,tlBGOWQf7WV",11,21-820-381-6315,5566.72,FURNITURE, the ironic requests. idle dinos cajole f
60251,Customer#000060251,"h2yYiZx,PsllJnwCUv8RepfMMme",9,19-817-697-7525,2951.19,AUTOMOBILE,ges. quickly final forges accor
60252,Customer#000060252,"Q5,rCVJilBHcrFxATvcchi19BkUyL",6,16-620-121-2040,-301.35,MACHINERY,haggle. excuses are carefully final packages. blithely even inst
60253,Customer#000060253,dx30f6Q0snsCQtYT 7GBTR,8,18-838-139-9630,4185.63,AUTOMOBILE,"t the ironic, special packages. foxes haggle blithely final instruc"
60254,Customer#000060254,HmlJUXKTERpyPQMcRNSH5,15,25-184-887-3539,900.62,AUTOMOBILE,"lites alongside of the quick foxes mold evenly along the regular, final packages. stealthily final dependencies w"
60255,Customer#000060255,r 9fTyuWpicldinvGOFJ2OtEGuD3g,12,22-928-458-2664,9671.82,HOUSEHOLD,ic instructions across the enticingly regular requ
60256,Customer#000060256,sTKkUoOdFSefHe,15,25-914-495-3294,5330.43,FURNITURE,"ding, final asymptotes. deposits detect quickly "
60257,Customer#000060257,C Gql7znDh,13,23-172-871-9678,2626.11,BUILDING,carefully silent tithes cajole furiously. furiously unusual requests haggle fluffily.
60258,Customer#000060258,sfIy458KmRh5N,7,17-852-574-2854,3021.89,AUTOMOBILE,ular ideas use slyly. express ideas cajole enticingly accounts. furiously specia
60259,Customer#000060259,6qNF63DwreQ2Mkq1vsr330hlsn7wzkA,17,27-812-405-8084,-173.35,BUILDING,"usly silent requests. stealthily regular multipliers across the regular, express accounts are within the cl"
60260,Customer#000060260,P2s7pWlAlLxl,22,32-590-520-5000,-574.63,HOUSEHOLD,"ccounts lose carefully. ironic requests nag quickly above the unusual, "
60261,Customer#000060261,"Ry9ChsLpW,D5YD8wmc2W1wBUXYs",19,29-475-509-1420,9040.12,BUILDING,ual dependencies boost slyly about the unusual requests. quickly pending deposits dazzle fluffil
60262,Customer#000060262,4WINEABJU5n7jY,3,13-716-400-2170,3352.59,MACHINERY,ully bold excuses. fluffily bold ideas impress. quickly ironic requests haggle fluffily slyly regul
60263,Customer#000060263,6UHu0mk3vZ,21,31-363-957-4588,2944.38,AUTOMOBILE,requests. carefully even platelets w
60264,Customer#000060264,"pFFjh9DuD3EnY2Wy2926wPOjs,Nsdmn",5,15-172-130-8962,6167.70,FURNITURE,"lly ironic asymptotes. final, busy requests "
60265,Customer#000060265,zD X2MZfTLRmGH3d3VI9gorCRwZX6HI,8,18-697-986-1878,5561.62,MACHINERY, after the final packages haggle fluffily theodolites. ironic requests integrate. carefully ironic accounts along t
60266,Customer#000060266,5v0jdJJt VUBnWYvZAPMPxWwFkKEL,18,28-863-116-1077,5216.51,BUILDING, boost slyly blithely regular ac
60267,Customer#000060267,4OQpL9XMZh51CHY20aVdazaoz5pjV,10,20-133-999-9010,1896.96,AUTOMOBILE,". slyly regular theodolites are slyly across the quickly final theodolites. silent, pending requests sleep "
60268,Customer#000060268,RMS3lP31IG3zfMV7uXEpjJ37,6,16-727-421-7645,2167.96,AUTOMOBILE,he fluffily unusual accounts. deposits detect. regular ideas sleep theodolites. final theodolites haggle stealthily
60269,Customer#000060269,d0xK5quV31JX4MFuD aZyq,6,16-775-972-8504,2834.65,FURNITURE,er the special ideas. deposits haggle slyly furiously un
60270,Customer#000060270,0F9toAhMifl W,19,29-863-377-2343,9955.00,HOUSEHOLD," pending gifts wake carefully about the blithely ironic accounts. ironic, unusual pinto beans "
60271,Customer#000060271,"LUT2Le83I6,uxgwiMe9jEe",19,29-456-997-5225,1779.56,AUTOMOBILE,hely even notornis after the packages use f
60272,Customer#000060272,JdbbgW8ZIBN6mpN,8,18-141-906-5540,9049.68,MACHINERY,the furiously regular excuses. express accounts sleep carefully; final realms x-ray blithely ironi
60273,Customer#000060273,"cel lhq,0THi8",5,15-728-967-7654,-974.60,FURNITURE,"ding instructions wake furiously. regular, silent accounts haggle around the quickly even ideas. ti"
60274,Customer#000060274,0w9sceRL2P1ZIE1pQPBNMsLXMKCfna,3,13-849-262-4964,7853.64,MACHINERY,s requests. dugouts according to the quickly even foxes sle
60275,Customer#000060275,nznminf53Lj04lUBHCeaR0Jq5JHtEGiV,10,20-786-567-8348,5105.03,HOUSEHOLD,"ess, unusual pinto beans above the quickly pending accounts detect quickly final packages. furiously sp"
60276,Customer#000060276,RI7G9tgmSqvzUQXrrltJbDhBpDe9viI9sLLSA,13,23-806-837-6112,9250.07,MACHINERY,"en accounts boost regular, bold dependenc"
60277,Customer#000060277,UoqVyMxWCpQTs15kId90ToNJOZ0yN3YqD2,19,29-927-273-9111,918.47,HOUSEHOLD,uickly ironic requests nag fluffily reg
60278,Customer#000060278,czxySFftobFNT,20,30-642-812-9808,1611.58,HOUSEHOLD,into beans use carefully quickly regular asympto
60279,Customer#000060279,SYg74FWyTfU,12,22-464-313-8016,1802.30,AUTOMOBILE,beans. final dugouts haggle according to the blithely sp
60280,Customer#000060280,oiaJD EsfNJgBHRE9JOUixAsY,11,21-467-534-1063,6162.06,AUTOMOBILE,ual accounts wake carefully slyly regular
60281,Customer#000060281,IyjyvxhWUEN3,16,26-919-109-7424,9716.20,MACHINERY,"arefully unusual, special dolphins. theodolites use aga"
60282,Customer#000060282,",ko0rdtGP01XY,9xTnyY4tVIdiu hk",0,10-314-471-7642,3223.34,FURNITURE,tealthily. furiously bold ideas sleep furiously? fluffily regular epitaph
60283,Customer#000060283,smE3Ux11wH7pP,3,13-712-139-9710,8678.87,FURNITURE,"ctions. express, regular instructions boost blithely above the regular, "
60284,Customer#000060284,"n,XangtxmYlf8HAxqJCC6uPdMlrae ",0,10-786-283-3257,3814.22,FURNITURE,e furiously thin pinto beans. regular dependencies wake special accounts. sly
60285,Customer#000060285,"3LbZ2DBP,nk0afU1OlcWtZ5LAxTgMTijE8hQ",18,28-401-994-5643,6514.62,FURNITURE,furiously final platelets affix blithely regular foxes; silent accounts against th
60286,Customer#000060286,8Su01mhqDA1KYanzo2q0ScVCQfF,13,23-880-190-4813,6263.65,FURNITURE,lithely ironic foxes. furiously final foxes against the fluffily ex
60287,Customer#000060287,wCfKHHpbJFS24P4609i49IQUST5x6RQwd,24,34-160-543-1864,1189.04,MACHINERY,ys. fluffily regular accounts about the carefully even pla
60288,Customer#000060288,"7R pu2wVqew7LTYbw1 2GFA62W, dgCUaKt",8,18-309-591-6050,6205.37,FURNITURE,s. furiously silent epitaphs along the sometimes special theodolites sleep along
60289,Customer#000060289,p6BRGVAnfehXxXACrmQVTgFlg3YM,12,22-133-991-9019,671.99,FURNITURE,y above the final realms. foxes boost. dolphins wake furiously. slyly enticing instructions wake care
60290,Customer#000060290,3jxCexjfpHUmd2oL0Q1H,11,21-440-975-3306,6055.60,BUILDING,fily bold instructions. fluffily even accounts haggle carefully across the slyly pending deposits. expre
60291,Customer#000060291,"s,9KJmGKDx8wu0jhQ2ay96MIWpp1TKajNRwdC3jj",4,14-568-145-7551,2478.56,MACHINERY,uriously ironic foxes haggle fluf
60292,Customer#000060292,i8UlbX2HdyttRETCrLsRT7wNU5OMh,7,17-504-773-7282,9061.89,HOUSEHOLD,"pecial forges cajole ironic, ironic ideas. carefully ironic foxes use fluffily. fluffily even packages s"
60293,Customer#000060293,Del3rAuNW7yjV4B,24,34-869-169-3845,6178.53,AUTOMOBILE,ccounts wake against the furiously sil
60294,Customer#000060294,mWSd6 kYpA5,9,19-144-470-4917,575.73,MACHINERY,special requests are carefully special i
60295,Customer#000060295,tmRd7cA0X5USxXhgWqzJZ2YOn2ij cI,5,15-672-845-7921,5285.68,BUILDING,sly. blithely bold theodolites nod blithely ironic instructions. regular waters about the 
60296,Customer#000060296,g6XBq37cLCNKbXvIMKLQ88zikVfC6jXDZHI,15,25-732-755-3778,9429.08,BUILDING,"lly according to the stealthily even deposits. regular decoys boost carefully ironic theodolites. ironic, unus"
60297,Customer#000060297,wiGAhiN5bYbfnsGyCgqAbr,7,17-480-253-2061,6675.38,MACHINERY,"e slyly. carefully bold requests are blithely pending foxes? regular, unusual deposits "
60298,Customer#000060298,PDWXplunhgUVr,2,12-628-747-9240,2214.11,HOUSEHOLD,ely pending ideas wake. carefully pending packages sleep furiously about the carefully regular p
60299,Customer#000060299,XuN0Xpmq9O xGBHadVKxKWhuHi8rS3COpQfF,14,24-644-515-1469,8432.07,BUILDING,es above the carefully special instructions cajole doggedly bold theodolites. fluffily ironic requests h
60300,Customer#000060300,GlnSABpWhJwyW5Bncwm,23,33-168-213-3035,2790.40,AUTOMOBILE,excuses. unusual packages nag carefully according to the care
60301,Customer#000060301,He8lBRc6 R Amo1bdujyv3ix,5,15-983-286-2194,3235.96,AUTOMOBILE, the carefully regular asymptotes. furiously fin
60302,Customer#000060302,innEjGpvRjEgdLase9FU,16,26-767-225-9605,794.37,BUILDING,ding packages. asymptotes above the foxes hinder carefully quickly even platelets. carefully p
60303,Customer#000060303,WcGFtegbSMfH,2,12-310-456-2189,5947.25,FURNITURE,gside of the furiously bold dolphins. furiously final asymptotes 
60304,Customer#000060304,"uJpNa7rT1V2,m846DZbK",2,12-510-405-2809,7456.71,AUTOMOBILE,haggle. theodolites detect. fluffily ironic theodolites hag
60305,Customer#000060305,0wxaYUmozmqVvh,3,13-515-780-1110,-24.02,MACHINERY,jole along the final requests.
60306,Customer#000060306,"slp1n0ob K,2",8,18-889-117-7460,1278.67,MACHINERY,un blithely special instructions. carefully pending theodolites use u
60307,Customer#000060307,B3ZnvfIwEfEn3,17,27-986-989-1710,5556.93,MACHINERY,eodolites. ideas sleep. carefully regular theodolites after 
60308,Customer#000060308,6lDyT48UceZDLIrmCl,24,34-669-141-8845,3333.48,AUTOMOBILE,ut the regular instructions haggle slyl
60309,Customer#000060309,"PA0Df9k6OjPHh,fUAb1NLW8bkmw1nUvwicdF4fgm",14,24-227-350-8310,772.66,HOUSEHOLD,"eep furiously foxes. even, permanent theodolites "
60310,Customer#000060310,aLcptO7Sz49DuwAQpXaP2lyXA,16,26-463-290-9971,4118.83,BUILDING,"slyly sheaves. regular theodolites according to the final, express deposits are blithely a"
60311,Customer#000060311,CVpmU8aJKFif 2qOJAVn,2,12-670-809-2863,237.23,AUTOMOBILE,ng the slyly ironic packages. slyly regular ideas at the furiously pending notornis cajole furiously ironic excuses.
60312,Customer#000060312,XbsA l12d uQCdqMb9oKtbJjIl614mMuzXT64,20,30-796-482-2755,3045.55,BUILDING,cial theodolites cajole. regular accounts integrate carefully final dependencies. quickly final t
60313,Customer#000060313,BkI X90WUbkduQnvERfrw07owlfhoro5dn2T,20,30-465-696-1579,1581.07,BUILDING,ular instructions. regular excuses al
60314,Customer#000060314,Auuj raIDRgAbHWC0xlfXtAfrSDlT,12,22-779-956-3153,6011.83,BUILDING,ringly final asymptotes integrate ironic deposits. slyly final ideas should sleep. express pinto beans integrate 
60315,Customer#000060315,sO0gvTV23BUiNOEV5XsuyYMD1uDhoXS,6,16-687-879-1632,3897.35,HOUSEHOLD,"lly blithely regular theodolites. express, ironic foxes wake slyly. slyly pending ins"
60316,Customer#000060316,U69IRocJN84ZK00b9hQ41GWD0DhreYpmKsnK,3,13-973-942-6817,6674.19,MACHINERY,l instructions boost. final packages integrate furiously in place of the ideas. c
60317,Customer#000060317,gL2QZ3PaBraQDx,16,26-349-536-7523,4223.30,MACHINERY,regular requests. grouches haggle furiously accounts. c
60318,Customer#000060318,6ijyHKYOQzA4mx8,11,21-696-111-3537,7038.27,BUILDING,efully. furiously ironic asymptotes use regularly. quickly silent deposits against the special excuses sleep furi
60319,Customer#000060319,BRDxF79oKCdo,8,18-494-717-3364,7183.18,HOUSEHOLD,"nag carefully. carefully regular packages nag about the pending theodolites. unusual, unusual dependencies a"
60320,Customer#000060320,"xs2d,bpcYTh9B1eyA78",21,31-684-698-1724,707.79,FURNITURE, grouches boost at the slyly fin
60321,Customer#000060321,3L39HNSWSZbE,22,32-885-836-8551,2833.05,AUTOMOBILE,"symptotes. unusual, regular foxes boost carefully among the furiously unusual notorn"
60322,Customer#000060322,"Jv oPdh5ow3HCfk4Ju,h3ZgsQbLlHhIUr4jgXc",15,25-290-573-1900,5125.12,BUILDING, pending pinto beans. blithely bold accounts against the spe
60323,Customer#000060323,EKSXOZrYiRAvU3Ip3hKqOdgCNkIk,6,16-366-964-3076,5958.05,FURNITURE,"s. packages sleep regularly among the ironic, pending requests. blithely final theod"
